as	assembly
atk-docs	gnome
autoconf	build
automake	build
bashref	shell
binutils	c
bison	c
coreutils	unix
cpp	c,cxx
cppinternals	c,cxx
css	web,css
find	unix
flex	c
g77	fortran
gcc	cxx,c
gccint	c,cxx
gcj	java
gdb	c,cxx
gfortran	fortran
ggad	gnome
glib-docs	gnome
gnat_ug_unx	unix
gnuplot	scientific
gobject-docs	gnome
grep	unix
gtk-docs	gnome
gtk-faq	gnome
gtk-tut	gnome
html	web,html
libc	c
libtool	build
make	build,unix
Numeric	python
pango-docs	gnome
perl	perl
Python	python
sed	unix
tar	unix
texinfo	tex
which	unix
xhtml	web,html,xml
xml	xml
